Through the Looking Glass|Barton Creek Gree…>New Wall>Great Wall|4|5.11a|Texas
Clockwerk Orange|Enchanted Rock St…>Echo Canyon>Orange Peel Area|4|5.11a|Texas
Bolt Talk|Reimer's Ranch>Dr. Seuss / Prototype Wall|3|5.11a|Texas
Deceptive Warmup|Reimer's Ranch N…>Mossy Wall|3|5.11a|Texas
Wife in the Fast Lane|Reimer's Ranch>Crankenstein|3|5.11a|Texas
Urban Assault|Barton Creek Gree…>Urban Assault Wall|4|5.11a|Texas
Rock Retard|Barton Creek Gree…>Gus Fruh>Gus Fruh aka Fern Bar Area|3|5.11a|Texas
Tomahawk|Continental Ranch>Weir Dam Sector|4|5.11-|Texas
Mines Of Moria|Reimer's Ranch N…>Middle Earth Wall|3|5.11a|Texas
Mikey's Warm Up|Morgan's Point|4|5.11a|Texas
Centipede|Reimer's Ranch>Dead Cats|3|5.11a|Texas
Insane Tree Hugger|Reimer's Ranch N…>Insanity Wall|3|5.11-|Texas
Karen Carpenter|Reimer's Ranch>Oblivion Wall|3|5.11a|Texas
Menopause Mania|Reimer's Ranch N…>Little Guide's Wall|4|5.11a|Texas
Big Huking Chicken|Reimer's Ranch N…>Insanity Wall|4|5.11a|Texas
Gros Ventre|Barton Creek Gree…>Gus Fruh>Gus Fruh aka Fern Bar Area|3|5.11a|Texas
Cliptomania|Reimer's Ranch>Arbor Wall|3|5.11a|Texas
Unnatural|Reimer's Ranch>Dr. Seuss / Prototype Wall|3|5.11a|Texas
Bastards in the Brothel|Reimer's Ranch>House of Pain|3|5.11a|Texas
Brazos Bros|Paradise on the B…>Three Gray Faces|3|5.11a|Texas
El Presidente|Reimer's Ranch>Tit for Tom|3|5.11a|Texas
Stray Dog|Paradise on the B…>Oaks Wall|4|5.11a|Texas
White Horse Mescalito|Reimer's Ranch N…>Little Guide's Wall|3|5.11a|Texas
Dr Joe Joe|Medicine Wall>New Testament Wall|4|5.11a|Texas
French Route|Enchanted Rock St…>Main Dome>Shield|3|5.11a|Texas
Narthex|Georgetown Hospital|3|5.11a|Texas
Orange Huecos|Morgan's Point|3|5.11a|Texas
Spoon Licker|Paradise on the B…>Tailgate Party Wall|3|5.11a|Texas
Dude, where's my hammer?|Reimer's Ranch>Crankenstein|3|5.11-|Texas
Festivus, for the Rest of Us|Reimer's Ranch N…>Insanity Wall|3|5.11a|Texas
New Chautauqua|Hueco Tanks>N Mtn>Mushroom Boulder|3|5.11-|Texas
Juniper|Reimer's Ranch>Arbor Wall|3|5.11a|Texas
Invisible Slayer of the Mad…|Monster Rock>Lovecraftian Madness Wall|3|5.11a|Texas
Cresent Conundrum|Pecos River Boat…>Lawless Wall |3|5.11a|Texas
Crack Attack|Reimer's Ranch>Insect Wall (including Block Party)|3|5.11a|Texas
The Bear Paw|Pecos River Boat…>Whiskey Wall|3|5.11a|Texas
Unknown 5.11|Pecos River Boat…>Whiskey Wall|3|5.11a|Texas
Pie in the Sky|Reimer's Ranch N…>Undead Cats Wall|3|5.11a|Texas
Phoebe|Barton Creek Gree…>Gus Fruh>Myth Wall|3|5.11a|Texas
Forester|Paradise on the B…>Oaks Wall|3|5.11a|Texas
Earth Prayers|Paradise on the B…>Terra Therapy Area|3|5.11a|Texas
La Campanita|Georgetown Hospital|3|5.11a/b|Texas
Chainsaw|Reimer's Ranch>Arbor Wall|3|5.11a|Texas
Goblin Mutant|Monster Rock>Horror Movie Wall|3|5.11a|Texas
Blank Page|Reimer's Ranch>Serpent Wall|2|5.11a|Texas
Scrutinizer|Paradise on the B…>Oaks Wall|3|5.11a|Texas
Ringbearer|Reimer's Ranch N…>Middle Earth Wall|2|5.11a|Texas
Seven Gorgons Breathing|Monster Rock>Dungeons and Dragons Wall & J.R.…|3|5.11a|Texas
The Good, The Bad, and The…|Paradise on the B…>Three Gray Faces|3|5.11a|Texas
Dude Where's My Hammer|Reimer's Ranch>War on Rugs Wall|2|5.11-|Texas
Beyond The Sea|Reimer's Ranch N…>Middle Earth Wall|3|5.11a/b|Texas
Mad Beef|Reimer's Ranch>World's Greatest Boulder|3|5.11a|Texas
The Great Unknown|Reimer's Ranch>Dead Cats|2|5.11a|Texas
Upchuck Thrill|Paradise on the B…>Corner Walls|3|5.11a|Texas
The Wizard|Franklin Mtn Range>McKelligon Canyon>Wizard|3|5.11a|Texas
Ant Encouters|Reimer's Ranch>Crankenstein|3|5.11a|Texas
Cowtown|Paradise on the B…>Stockyards|2|5.11a|Texas
Teenage Parties|Reimer's Ranch>Crankenstein|2|5.11a/b|Texas
Fire Eater Cafe|Franklin Mtn Range>Tom Mays Park>Sneed's Cory|2|5.11a|Texas
Thing 1 Thing 2|Reimer's Ranch>Dr. Seuss / Prototype Wall|2|5.11a|Texas
Hydra's Hissing Heads|Monster Rock>Mythology Wall|2|5.11a|Texas
Dallas Route|Paradise on the B…>Stockyards|2|5.11a|Texas
Dreamland|Reimer's Ranch N…>Dreamer's Wall|2|5.11a|Texas
Pinch it Off|Medicine Wall>Metro Wall|2|5.11a|Texas
Pirates of the Brazos|Paradise on the B…>Crinoid Cave|2|5.11a|Texas
Happy Things|Paradise on the B…>Three Gray Faces|2|5.11a|Texas
Ant Encounters|Reimer's Ranch>War on Rugs Wall|2|5.11a|Texas
Cactus Patch (direct)|Barton Creek Gree…>New Wall>Terrace|2|5.11-|Texas
Farewell to Texas|Hostility Boulders aka ham creek…|2|5.11-|Texas
Gang Bang|Reimer's Ranch>Crankenstein|2|5.11a|Texas
Scooter|Paradise on the B…>Corner Walls|2|5.11a|Texas
The Recliner|Paradise on the B…>Shuttle Cave|2|5.11a|Texas
Friends and Lovers|Reimer's Ranch>King Bee Memorial Buttress|2|5.11a|Texas
Mississippi of Texas|Paradise on the B…>Crinoid Cave|2|5.11a|Texas
Call of the Wild Man|Reimer's Ranch N…>Little Guide's Wall|2|5.11a/b|Texas
Bergargle|Reimer's Ranch N…>Little Guide's Wall|1|5.11a|Texas
Mickey's Crack|Reimer's Ranch N…>Cheech and Chong Wall|1|5.11a|Texas
Friends and Lovers|Reimer's Ranch>Sex Canyon|1|5.11a|Texas
Fool's Way Out|Pecos River Boat…>Lawless Wall |1|5.11a|Texas
Years in the Making|Reimer's Ranch N…>Dreamer's Wall|1|5.11a|Texas
Black Face|Paradise on the B…>Three Gray Faces|1|5.11a|Texas
